entity,code,year,bev_share_ev_cars
Italy,ITA,2014,74.62687
Italy,ITA,2015,66.96429
Italy,ITA,2016,51.85185
Italy,ITA,2017,40.81633
Italy,ITA,2018,51.54639
Italy,ITA,2019,62.85714
Italy,ITA,2020,55
Italy,ITA,2021,48.55072
Italy,ITA,2022,42.98246
Italy,ITA,2023,48.52941
Italy,ITA,2024,55.9322
Italy,ITA,2025,49.2228
Japan,JPN,2010,100
Japan,JPN,2011,99.88475
Japan,JPN,2012,54.16667
Japan,JPN,2013,51.72414
Japan,JPN,2014,50
Japan,JPN,2015,41.66667
Japan,JPN,2016,61.47541
Japan,JPN,2017,33.33333
Japan,JPN,2018,54
Japan,JPN,2019,53.84615
Japan,JPN,2020,50
Japan,JPN,2021,48.88889
Japan,JPN,2022,60.82474
Japan,JPN,2023,62.85714
Japan,JPN,2024,58.25243
Japan,JPN,2025,59.80392
Jordan,JOR,2017,73.73272
Jordan,JOR,2018,51.28205
Jordan,JOR,2019,65.78947
Jordan,JOR,2020,76.27119
Jordan,JOR,2021,88.70968
Jordan,JOR,2022,93.33333
Jordan,JOR,2023,95.64802
Jordan,JOR,2024,98.68421
Jordan,JOR,2025,98.60592
Laos,LAO,2022,100
Laos,LAO,2023,100
Laos,LAO,2024,91.25475
Laos,LAO,2025,91.05691
Latvia,LVA,2015,65.38462
Latvia,LVA,2016,55
Latvia,LVA,2017,55
Latvia,LVA,2018,81.11111
Latvia,LVA,2019,87.7551
Latvia,LVA,2020,80.93995
Latvia,LVA,2021,74.54545
Latvia,LVA,2022,78.57143
Latvia,LVA,2023,82.92683
Latvia,LVA,2024,61.90476
Latvia,LVA,2025,37.2093
Lithuania,LTU,2015,100
Lithuania,LTU,2016,100
Lithuania,LTU,2017,100
Lithuania,LTU,2018,100
Lithuania,LTU,2019,100
Lithuania,LTU,2020,100
Lithuania,LTU,2021,75
Lithuania,LTU,2022,67.63285
Lithuania,LTU,2023,65.625
Lithuania,LTU,2024,51.42857
Lithuania,LTU,2025,42.10526
Luxembourg,LUX,2019,52.10526
Luxembourg,LUX,2020,48.07692
Luxembourg,LUX,2021,51.11111
Luxembourg,LUX,2022,62.7451
Luxembourg,LUX,2023,69.62025
Luxembourg,LUX,2024,77.38095
Luxembourg,LUX,2025,77.84431
Malaysia,MYS,2012,100
Malaysia,MYS,2013,100
Malaysia,MYS,2014,100
Malaysia,MYS,2015,100
Malaysia,MYS,2016,100
Malaysia,MYS,2017,1.699029
Malaysia,MYS,2018,0.7690399
Malaysia,MYS,2019,1.652242
Malaysia,MYS,2020,13.04348
Malaysia,MYS,2021,23.2
Malaysia,MYS,2022,40.625
Malaysia,MYS,2023,82.88288
Malaysia,MYS,2024,94.4206
Malaysia,MYS,2025,89.90826
Mexico,MEX,2011,100
Mexico,MEX,2012,100
Mexico,MEX,2013,100
Mexico,MEX,2014,100
Mexico,MEX,2015,92.92929
Mexico,MEX,2016,32.46753
Mexico,MEX,2017,19.16667
Mexico,MEX,2018,11.11111
Mexico,MEX,2019,17.15976
Mexico,MEX,2020,47.36842
Mexico,MEX,2021,46.15385
Mexico,MEX,2022,52.38095
Mexico,MEX,2023,86.95652
Mexico,MEX,2024,73.52941
Mexico,MEX,2025,41.11111
Nepal,NPL,2021,95.4033
Nepal,NPL,2022,96.302
Nepal,NPL,2023,98.78521
Nepal,NPL,2024,99.55202
Nepal,NPL,2025,99.51772
Netherlands,NLD,2010,100
Netherlands,NLD,2011,98.06157
Netherlands,NLD,2012,15.52063
Netherlands,NLD,2013,11.50442
Netherlands,NLD,2014,18.36735
Netherlands,NLD,2015,22.07792
Netherlands,NLD,2016,9.302326
Netherlands,NLD,2017,30.76923
Netherlands,NLD,2018,86.95652
Netherlands,NLD,2019,91.72932
Netherlands,NLD,2020,82.75862
Netherlands,NLD,2021,67.02128
Netherlands,NLD,2022,68.2243
Netherlands,NLD,2023,70.51282
Netherlands,NLD,2024,71.42857
Netherlands,NLD,2025,70.17544
New Zealand,NZL,2010,100
New Zealand,NZL,2011,86.66667
New Zealand,NZL,2012,81.48148
New Zealand,NZL,2013,83.33333
New Zealand,NZL,2014,34.375
New Zealand,NZL,2015,60
New Zealand,NZL,2016,77.92208
New Zealand,NZL,2017,84.30233
New Zealand,NZL,2018,78.57143
New Zealand,NZL,2019,76.81159
New Zealand,NZL,2020,72.22222
New Zealand,NZL,2021,66.01942
New Zealand,NZL,2022,67.37589
New Zealand,NZL,2023,70
New Zealand,NZL,2024,64.94845
New Zealand,NZL,2025,58.62069
Norway,NOR,2010,100
Norway,NOR,2011,100
Norway,NOR,2012,92.41706
Norway,NOR,2013,95.87379
Norway,NOR,2014,92.1659
Norway,NOR,2015,76.69617
Norway,NOR,2016,53.33333
Norway,NOR,2017,53.22581
Norway,NOR,2018,63.0137
Norway,NOR,2019,75.94937
Norway,NOR,2020,72.64151
Norway,NOR,2021,74.32432
Norway,NOR,2022,89.74359
Norway,NOR,2023,90.90909
Norway,NOR,2024,96.9163
Norway,NOR,2025,98.37963
Philippines,PHL,2019,99.15014
Philippines,PHL,2020,97.82609
Philippines,PHL,2021,74.7331
Philippines,PHL,2022,83.33333
Philippines,PHL,2023,83.09456
Philippines,PHL,2024,68.75
Philippines,PHL,2025,50
Poland,POL,2010,93.75
Poland,POL,2011,100
Poland,POL,2012,91.66667
Poland,POL,2013,83.78378
Poland,POL,2014,69.65174
Poland,POL,2015,31.81818
Poland,POL,2016,21.56863
Poland,POL,2017,40.74074
Poland,POL,2018,44.92754
Poland,POL,2019,55.55556
Poland,POL,2020,45.12195
Poland,POL,2021,44.17178
Poland,POL,2022,56
Poland,POL,2023,56.66667
Poland,POL,2024,59.45946
Poland,POL,2025,59.52381
Portugal,PRT,2010,100
Portugal,PRT,2011,98.83721
Portugal,PRT,2012,64.28571
Portugal,PRT,2013,81.08108
Portugal,PRT,2014,65.97222
Portugal,PRT,2015,60.90909
Portugal,PRT,2016,44.44444
Portugal,PRT,2017,43.18182
Portugal,PRT,2018,52.43902
Portugal,PRT,2019,53.96825
Portugal,PRT,2020,39.39394
Portugal,PRT,2021,44.82759
Portugal,PRT,2022,52.94118
Portugal,PRT,2023,57.14286
Portugal,PRT,2024,60
Portugal,PRT,2025,60.46512
Rest of World,,2010,100.3846
Rest of World,,2011,109.7744
Rest of World,,2012,176.0338
Rest of World,,2014,210.1351
Rest of World,,2016,65.22615
Rest of World,,2017,50.15773
Rest of World,,2018,123.7025
Rest of World,,2020,-136.5841
Rest of World,,2021,83.15294
Rest of World,,2023,85.59327
Rest of World,,2024,93.53524
Rest of World,,2025,98.16591
Romania,ROU,2015,100
Romania,ROU,2016,100
Romania,ROU,2017,100
Romania,ROU,2018,100
Romania,ROU,2019,100
Romania,ROU,2020,73.68421
Romania,ROU,2021,100
Romania,ROU,2022,100
Romania,ROU,2023,100
Romania,ROU,2024,100
Romania,ROU,2025,100
Russia,RUS,2011,100
Russia,RUS,2012,100
Russia,RUS,2015,66.66667
Russia,RUS,2016,94.08602
Russia,RUS,2017,77.46479
Russia,RUS,2018,12.2807
Russia,RUS,2019,28
Russia,RUS,2020,52.34899
Russia,RUS,2021,63.72549
Russia,RUS,2022,95.35759
Russia,RUS,2023,91.25475
Russia,RUS,2024,30
Russia,RUS,2025,38.70968
Seychelles,SYC,2015,100
Seychelles,SYC,2016,100
Seychelles,SYC,2017,100
Seychelles,SYC,2018,100
Seychelles,SYC,2019,100
Seychelles,SYC,2020,100
Seychelles,SYC,2021,100
Seychelles,SYC,2022,100
Seychelles,SYC,2023,100
Singapore,SGP,2016,100
Singapore,SGP,2017,79.41176
Singapore,SGP,2018,53.68421
Singapore,SGP,2019,73.8255
Singapore,SGP,2020,45.45455
Singapore,SGP,2021,76.68712
Singapore,SGP,2022,86.95652
Singapore,SGP,2023,88.40864
Singapore,SGP,2024,95.31374
Singapore,SGP,2025,97.18173
Slovakia,SVK,2015,100
Slovakia,SVK,2016,100
Slovakia,SVK,2017,100
Slovakia,SVK,2018,100
Slovakia,SVK,2019,44.44444
Slovakia,SVK,2020,51.68539
Slovakia,SVK,2021,47.82609
Slovakia,SVK,2022,46.66667
Slovakia,SVK,2023,43.39623
Slovakia,SVK,2024,50
Slovakia,SVK,2025,51.76471
Slovenia,SVN,2016,75.26882
Slovenia,SVN,2017,63.04348
Slovenia,SVN,2018,71.21212
Slovenia,SVN,2019,87.15596
Slovenia,SVN,2020,97.6205
Slovenia,SVN,2021,84.57711
Slovenia,SVN,2022,79.58478
Slovenia,SVN,2023,78.18182
Slovenia,SVN,2024,72.09302
Slovenia,SVN,2025,77.10843
South Africa,ZAF,2013,100
South Africa,ZAF,2014,93.33333
South Africa,ZAF,2015,50
South Africa,ZAF,2016,26.31579
South Africa,ZAF,2017,34.34343
South Africa,ZAF,2018,44.59459
South Africa,ZAF,2019,68.96552
South Africa,ZAF,2020,38.01653
South Africa,ZAF,2021,81.18081
South Africa,ZAF,2022,80.64516
South Africa,ZAF,2023,75
South Africa,ZAF,2024,61.85567
South Africa,ZAF,2025,26.31579
South Korea,KOR,2010,100
South Korea,KOR,2011,100
South Korea,KOR,2012,100
South Korea,KOR,2013,100
South Korea,KOR,2014,100
South Korea,KOR,2015,92.53731
South Korea,KOR,2016,93.43936
South Korea,KOR,2017,95.43286
South Korea,KOR,2018,92.59259
South Korea,KOR,2019,92.43697
South Korea,KOR,2020,78.08564
South Korea,KOR,2021,79.12088
South Korea,KOR,2022,91.60305
South Korea,KOR,2023,90.90909
South Korea,KOR,2024,93.8233
South Korea,KOR,2025,92.1659
Spain,ESP,2010,100
Spain,ESP,2011,97.98995
Spain,ESP,2012,79.62963
Spain,ESP,2013,91.83673
Spain,ESP,2014,80.92486
Spain,ESP,2015,62.5
Spain,ESP,2016,57.14286
Spain,ESP,2017,52.7027
Spain,ESP,2018,51.72414
Spain,ESP,2019,57.47126
Spain,ESP,2020,42.85714
Spain,ESP,2021,35.8209
Spain,ESP,2022,40.2439
Spain,ESP,2023,46.72131
Spain,ESP,2024,48.4375
Spain,ESP,2025,47.82609
Sweden,SWE,2010,100
Sweden,SWE,2011,100
Sweden,SWE,2012,29.03226
Sweden,SWE,2013,28.10458
Sweden,SWE,2014,26.08696
Sweden,SWE,2015,34.48276
Sweden,SWE,2016,22.48062
Sweden,SWE,2017,21.56863
Sweden,SWE,2018,24.39863
Sweden,SWE,2019,39.02439
Sweden,SWE,2020,29.78723
Sweden,SWE,2021,42.22222
Sweden,SWE,2022,58.89571
Sweden,SWE,2023,64.32749
Sweden,SWE,2024,59.87261
Sweden,SWE,2025,57.80347
Switzerland,CHE,2011,90.70295
Switzerland,CHE,2012,45.94595
Switzerland,CHE,2013,87.59124
Switzerland,CHE,2014,93.10345
Switzerland,CHE,2015,57.89474
Switzerland,CHE,2016,54.09836
Switzerland,CHE,2017,57.14286
Switzerland,CHE,2018,53.68421
Switzerland,CHE,2019,75.14451
Switzerland,CHE,2020,58.82353
Switzerland,CHE,2021,59.25926
Switzerland,CHE,2022,67.79661
Switzerland,CHE,2023,69.73684
Switzerland,CHE,2024,68.65672
Switzerland,CHE,2025,67.08861
Thailand,THA,2010,100
Thailand,THA,2011,100
Thailand,THA,2012,100
Thailand,THA,2013,100
Thailand,THA,2014,8.695652
Thailand,THA,2015,37.83784
Thailand,THA,2016,5.128205
Thailand,THA,2017,16.16766
Thailand,THA,2018,1.277584
Thailand,THA,2019,6.796117
Thailand,THA,2020,14.28571
Thailand,THA,2021,21.11111
Thailand,THA,2022,47.36842
Thailand,THA,2023,86.51685
Thailand,THA,2024,88.30846
Thailand,THA,2025,86.95652
Turkey,TUR,2012,100
Turkey,TUR,2014,67.64706
Turkey,TUR,2015,52.17391
Turkey,TUR,2016,34.64567
Turkey,TUR,2017,69.36937
Turkey,TUR,2018,80.85106
Turkey,TUR,2019,70.98765
Turkey,TUR,2020,68.99225
Turkey,TUR,2021,76.53061
Turkey,TUR,2022,92.8382
Turkey,TUR,2023,96.2963
Turkey,TUR,2024,90.56244
Turkey,TUR,2025,80.16878
United Arab Emirates,ARE,2012,100
United Arab Emirates,ARE,2013,67.6259
United Arab Emirates,ARE,2015,37.64706
United Arab Emirates,ARE,2017,87.68267
United Arab Emirates,ARE,2018,77.77778
United Arab Emirates,ARE,2019,73.59307
United Arab Emirates,ARE,2020,91.17221
United Arab Emirates,ARE,2021,60.78431
United Arab Emirates,ARE,2022,71.53285
United Arab Emirates,ARE,2023,65.08876
United Arab Emirates,ARE,2024,71.12971
United Arab Emirates,ARE,2025,64.86486
United Kingdom,GBR,2010,91.95402
United Kingdom,GBR,2011,99.42005
United Kingdom,GBR,2012,62.25681
United Kingdom,GBR,2013,70.27027
United Kingdom,GBR,2014,46.2069
United Kingdom,GBR,2015,34.48276
United Kingdom,GBR,2016,25.64103
United Kingdom,GBR,2017,28.57143
United Kingdom,GBR,2018,25.80645
United Kingdom,GBR,2019,50.66667
United Kingdom,GBR,2020,61.79775
United Kingdom,GBR,2021,61.29032
United Kingdom,GBR,2022,72.97297
United Kingdom,GBR,2023,68.88889
United Kingdom,GBR,2024,69.09091
United Kingdom,GBR,2025,67.14286
United States,USA,2010,100
United States,USA,2011,55.05618
United States,USA,2012,27.77778
United States,USA,2013,49.48454
United States,USA,2014,53.38983
United States,USA,2015,62.2807
United States,USA,2016,54.375
United States,USA,2017,51.54639
United States,USA,2018,66.66667
United States,USA,2019,73.84615
United States,USA,2020,78.23129
United States,USA,2021,74.60317
United States,USA,2022,80.80808
United States,USA,2023,79.13669
United States,USA,2024,78.94737
United States,USA,2025,78.43137
Uzbekistan,UZB,2023,7.630522
Uzbekistan,UZB,2024,24.77876
Uzbekistan,UZB,2025,33.33333
Vietnam,VNM,2018,100
Vietnam,VNM,2021,100
Vietnam,VNM,2022,99.7404
Vietnam,VNM,2023,99.8004
Vietnam,VNM,2024,99.87841
Vietnam,VNM,2025,99.95724
World,OWID_WRL,2010,93.95973
World,OWID_WRL,2011,81.63265
World,OWID_WRL,2012,49.57983
World,OWID_WRL,2013,54.72637
World,OWID_WRL,2014,60.60606
World,OWID_WRL,2015,63.46154
World,OWID_WRL,2016,60.25641
World,OWID_WRL,2017,63.33333
World,OWID_WRL,2018,68.29268
World,OWID_WRL,2019,72.11538
World,OWID_WRL,2020,67.11409
World,OWID_WRL,2021,71.21212
World,OWID_WRL,2022,71.56863
World,OWID_WRL,2023,69.34307
World,OWID_WRL,2024,62.85714
World,OWID_WRL,2025,66.03774
